level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.038,Mesin Teraan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.039,Mesin Laminating,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.040,Penangkal Petir,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.041,Stempel Timbul/Bulat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.042,Lamu-lampu Kristal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.043,LCD Projector/Infocus,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.044,Flip Chart,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.045,Binding Machine,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.046,Softboard,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.047,Alat Perekam Suara (Voice Pen),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.048,Acces Control System,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.049,Intruction Detector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.050,Monitor Panel With Mimic Board,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.051,"Panic Button System, Alarm Indicator",,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.052,Pintu Elektrik (yang Memakai Akses),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.053,Focusing Screen/Layar LCD Projector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.054,Alat Detektor Barang Terlarang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.055,Projector Spider Bracket,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.056,Papan Gambar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.057,Bel,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.058,Electric Pressing Machine,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.059,Encapsulator (Jarasonic welder),,,,,,,,,,,,,,,,,,,,,,,
